"emissions from power generation by source in United States",Value,Year,Units
"Coal",2013.77,2000, Mt CO2
"Coal",2020.996,2001, Mt CO2
"Coal",1937.948,2002, Mt CO2
"Coal",1974.945,2003, Mt CO2
"Coal",1989.096,2004, Mt CO2
"Coal",2032.337,2005, Mt CO2
"Coal",1994.409,2006, Mt CO2
"Coal",2025.987,2007, Mt CO2
"Coal",1987.04,2008, Mt CO2
"Coal",1765.186,2009, Mt CO2
"Coal",1857.819,2010, Mt CO2
"Coal",1751.542,2011, Mt CO2
"Coal",1538.952,2012, Mt CO2
"Coal",1596.188,2013, Mt CO2
"Coal",1591.945,2014, Mt CO2
"Coal",1370.576,2015, Mt CO2
"Coal",1269.824,2016, Mt CO2
"Coal",1239.753,2017, Mt CO2
"Coal",1178.939,2018, Mt CO2
"Coal",994.762,2019, Mt CO2
"Coal",801.281,2020, Mt CO2
"Coal",926.408,2021, Mt CO2
"Oil",184.554,2000, Mt CO2
"Oil",190.165,2001, Mt CO2
"Oil",87.441,2002, Mt CO2
"Oil",105.76,2003, Mt CO2
"Oil",109.575,2004, Mt CO2
"Oil",109.831,2005, Mt CO2
"Oil",60.602,2006, Mt CO2
"Oil",60.708,2007, Mt CO2
"Oil",44.452,2008, Mt CO2
"Oil",38.039,2009, Mt CO2
"Oil",36.543,2010, Mt CO2
"Oil",29.702,2011, Mt CO2
"Oil",24.739,2012, Mt CO2
"Oil",28.409,2013, Mt CO2
"Oil",30.925,2014, Mt CO2
"Oil",29.127,2015, Mt CO2
"Oil",25.512,2016, Mt CO2
"Oil",23.466,2017, Mt CO2
"Oil",31.308,2018, Mt CO2
"Oil",25.299,2019, Mt CO2
"Oil",28.091,2020, Mt CO2
"Oil",28.247,2021, Mt CO2
"Natural gas",321.587,2000, Mt CO2
"Natural gas",328.103,2001, Mt CO2
"Natural gas",347.173,2002, Mt CO2
"Natural gas",318.867,2003, Mt CO2
"Natural gas",343.21,2004, Mt CO2
"Natural gas",363.256,2005, Mt CO2
"Natural gas",371.981,2006, Mt CO2
"Natural gas",406.723,2007, Mt CO2
"Natural gas",395.282,2008, Mt CO2
"Natural gas",405.6,2009, Mt CO2
"Natural gas",434.729,2010, Mt CO2
"Natural gas",445.746,2011, Mt CO2
"Natural gas",534.132,2012, Mt CO2
"Natural gas",486.051,2013, Mt CO2
"Natural gas",484.819,2014, Mt CO2
"Natural gas",567.955,2015, Mt CO2
"Natural gas",581.858,2016, Mt CO2
"Natural gas",543.812,2017, Mt CO2
"Natural gas",619.875,2018, Mt CO2
"Natural gas",662.679,2019, Mt CO2
"Natural gas",679.067,2020, Mt CO2
"Natural gas",657.11,2021, Mt CO2
"Other",21.728,2000, Mt CO2
"Other",21.158,2001, Mt CO2
"Other",23.126,2002, Mt CO2
"Other",23.117,2003, Mt CO2
"Other",19.78,2004, Mt CO2
"Other",17.44,2005, Mt CO2
"Other",18.529,2006, Mt CO2
"Other",17.646,2007, Mt CO2
"Other",18.691,2008, Mt CO2
"Other",18.65,2009, Mt CO2
"Other",16.871,2010, Mt CO2
"Other",18.858,2011, Mt CO2
"Other",18.895,2012, Mt CO2
"Other",17.769,2013, Mt CO2
"Other",17.838,2014, Mt CO2
"Other",17,2015, Mt CO2
"Other",16.468,2016, Mt CO2
"Other",15.763,2017, Mt CO2
"Other",15.915,2018, Mt CO2
"Other",16.857,2019, Mt CO2
"Other",16.461,2020, Mt CO2
"Other",15.437,2021, Mt CO2