DATE,LAUTONSA
1976-01-01,671.0
1976-02-01,747.7
1976-03-01,935.1
1976-04-01,902.7
1976-05-01,910.0
1976-06-01,944.2
1976-07-01,854.6
1976-08-01,753.1
1976-09-01,784.6
1976-10-01,860.4
1976-11-01,832.3
1976-12-01,798.3
1977-01-01,716.2
1977-02-01,799.0
1977-03-01,1069.0
1977-04-01,1016.3
1977-05-01,1041.5
1977-06-01,1104.2
1977-07-01,901.8
1977-08-01,919.5
1977-09-01,817.9
1977-10-01,1003.2
1977-11-01,870.7
1977-12-01,786.7
1978-01-01,679.6
1978-02-01,768.4
1978-03-01,1063.9
1978-04-01,1028.8
1978-05-01,1143.5
1978-06-01,1119.2
1978-07-01,913.7
1978-08-01,944.6
1978-09-01,819.7
1978-10-01,1023.7
1978-11-01,898.6
1978-12-01,760.3
1979-01-01,774.1
1979-02-01,831.6
1979-03-01,1103.8
1979-04-01,976.3
1979-05-01,1042.4
1979-06-01,894.5
1979-07-01,876.2
1979-08-01,908.2
1979-09-01,766.8
1979-10-01,891.5
1979-11-01,767.7
1979-12-01,725.7
1980-01-01,805.8
1980-02-01,811.6
1980-03-01,895.2
1980-04-01,743.3
1980-05-01,696.7
1980-06-01,701.9
1980-07-01,772.6
1980-08-01,685.5
1980-09-01,674.1
1980-10-01,847.5
1980-11-01,698.2
1980-12-01,649.4
1981-01-01,647.5
1981-02-01,764.0
1981-03-01,962.7
1981-04-01,751.3
1981-05-01,733.6
1981-06-01,723.8
1981-07-01,706.8
1981-08-01,801.1
1981-09-01,687.2
1981-10-01,648.8
1981-11-01,584.6
1981-12-01,522.9
1982-01-01,534.7
1982-02-01,632.5
1982-03-01,777.0
1982-04-01,668.9
1982-05-01,774.3
1982-06-01,651.0
1982-07-01,629.5
1982-08-01,608.9
1982-09-01,671.2
1982-10-01,656.0
1982-11-01,743.4
1982-12-01,632.0
1983-01-01,595.8
1983-02-01,627.8
1983-03-01,821.4
1983-04-01,761.9
1983-05-01,836.6
1983-06-01,903.8
1983-07-01,791.6
1983-08-01,740.7
1983-09-01,704.8
1983-10-01,860.8
1983-11-01,781.7
1983-12-01,751.7
1984-01-01,778.5
1984-02-01,841.4
1984-03-01,963.9
1984-04-01,895.6
1984-05-01,1047.0
1984-06-01,952.4
1984-07-01,889.8
1984-08-01,814.9
1984-09-01,743.5
1984-10-01,901.5
1984-11-01,802.4
1984-12-01,759.3
1985-01-01,829.9
1985-02-01,833.4
1985-03-01,965.0
1985-04-01,983.3
1985-05-01,1068.5
1985-06-01,920.2
1985-07-01,892.4
1985-08-01,995.4
1985-09-01,1064.3
1985-10-01,859.1
1985-11-01,758.4
1985-12-01,808.5
1986-01-01,866.8
1986-02-01,829.7
1986-03-01,893.8
1986-04-01,969.3
1986-05-01,1068.5
1986-06-01,997.8
1986-07-01,949.7
1986-08-01,949.0
1986-09-01,1213.1
1986-10-01,902.1
1986-11-01,778.5
1986-12-01,987.4
1987-01-01,621.8
1987-02-01,774.4
1987-03-01,927.0
1987-04-01,931.3
1987-05-01,861.2
1987-06-01,935.1
1987-07-01,905.7
1987-08-01,959.2
1987-09-01,896.9
1987-10-01,794.5
1987-11-01,729.2
1987-12-01,834.6
1988-01-01,757.2
1988-02-01,880.5
1988-03-01,998.5
1988-04-01,895.1
1988-05-01,966.9
1988-06-01,1002.6
1988-07-01,856.0
1988-08-01,878.7
1988-09-01,822.3
1988-10-01,829.0
1988-11-01,786.8
1988-12-01,872.0
1989-01-01,711.9
1989-02-01,745.6
1989-03-01,879.2
1989-04-01,904.6
1989-05-01,963.8
1989-06-01,888.8
1989-07-01,837.1
1989-08-01,963.5
1989-09-01,829.9
1989-10-01,739.2
1989-11-01,672.3
1989-12-01,640.9
1990-01-01,743.3
1990-02-01,716.5
1990-03-01,850.3
1990-04-01,802.1
1990-05-01,872.4
1990-06-01,857.3
1990-07-01,803.2
1990-08-01,786.0
1990-09-01,769.0
1990-10-01,787.8
1990-11-01,661.2
1990-12-01,651.1
1991-01-01,554.6
1991-02-01,621.5
1991-03-01,730.3
1991-04-01,690.7
1991-05-01,769.5
1991-06-01,771.7
1991-07-01,773.2
1991-08-01,690.4
1991-09-01,671.4
1991-10-01,702.0
1991-11-01,606.5
1991-12-01,593.2
1992-01-01,560.5
1992-02-01,651.1
1992-03-01,720.4
1992-04-01,715.8
1992-05-01,733.7
1992-06-01,824.8
1992-07-01,733.6
1992-08-01,644.8
1992-09-01,673.7
1992-10-01,694.5
1992-11-01,601.0
1992-12-01,660.5
1993-01-01,562.2
1993-02-01,593.4
1993-03-01,735.1
1993-04-01,768.7
1993-05-01,812.1
1993-06-01,835.6
1993-07-01,763.5
1993-08-01,697.1
1993-09-01,704.0
1993-10-01,717.3
1993-11-01,667.6
1993-12-01,661.1
1994-01-01,606.1
1994-02-01,698.6
1994-03-01,876.2
1994-04-01,785.8
1994-05-01,814.5
1994-06-01,871.4
1994-07-01,713.2
1994-08-01,782.3
1994-09-01,741.8
1994-10-01,738.0
1994-11-01,670.7
1994-12-01,691.8
1995-01-01,581.3
1995-02-01,647.8
1995-03-01,798.3
1995-04-01,685.5
1995-05-01,824.7
1995-06-01,852.3
1995-07-01,720.8
1995-08-01,805.9
1995-09-01,713.1
1995-10-01,698.6
1995-11-01,641.4
1995-12-01,650.7
1996-01-01,564.4
1996-02-01,687.7
1996-03-01,789.5
1996-04-01,757.1
1996-05-01,867.2
1996-06-01,788.7
1996-07-01,728.1
1996-08-01,745.1
1996-09-01,691.8
1996-10-01,673.1
1996-11-01,586.3
1996-12-01,599.6
1997-01-01,608.6
1997-02-01,644.6
1997-03-01,762.3
1997-04-01,694.7
1997-05-01,767.3
1997-06-01,735.4
1997-07-01,735.0
1997-08-01,735.6
1997-09-01,663.6
1997-10-01,659.8
1997-11-01,558.5
1997-12-01,652.3
1998-01-01,522.5
1998-02-01,611.6
1998-03-01,719.9
1998-04-01,706.7
1998-05-01,789.1
1998-06-01,813.9
1998-07-01,630.7
1998-08-01,669.8
1998-09-01,680.2
1998-10-01,708.3
1998-11-01,555.9
1998-12-01,676.3
1999-01-01,543.5
1999-02-01,666.9
1999-03-01,784.0
1999-04-01,732.6
1999-05-01,826.3
1999-06-01,825.8
1999-07-01,765.9
1999-08-01,792.2
1999-09-01,710.2
1999-10-01,683.0
1999-11-01,633.3
1999-12-01,674.0
2000-01-01,616.7
2000-02-01,763.5
2000-03-01,830.2
2000-04-01,770.1
2000-05-01,828.0
2000-06-01,835.2
2000-07-01,738.4
2000-08-01,796.3
2000-09-01,742.5
2000-10-01,659.2
2000-11-01,593.7
2000-12-01,603.9
2001-01-01,586.8
2001-02-01,695.2
2001-03-01,783.9
2001-04-01,684.5
2001-05-01,808.9
2001-06-01,804.3
2001-07-01,660.6
2001-08-01,720.2
2001-09-01,635.1
2001-10-01,807.0
2001-11-01,597.1
2001-12-01,568.5
2002-01-01,521.1
2002-02-01,620.0
2002-03-01,737.9
2002-04-01,712.9
2002-05-01,753.2
2002-06-01,755.7
2002-07-01,735.0
2002-08-01,822.5
2002-09-01,597.9
2002-10-01,599.3
2002-11-01,566.6
2002-12-01,620.0
2003-01-01,539.7
2003-02-01,575.0
2003-03-01,687.2
2003-04-01,648.6
2003-05-01,721.9
2003-06-01,683.8
2003-07-01,674.6
2003-08-01,732.1
2003-09-01,592.4
2003-10-01,569.7
2003-11-01,554.1
2003-12-01,576.5
2004-01-01,491.1
2004-02-01,578.0
2004-03-01,687.5
2004-04-01,639.7
2004-05-01,740.5
2004-06-01,668.0
2004-07-01,681.4
2004-08-01,636.6
2004-09-01,605.7
2004-10-01,583.9
2004-11-01,518.4
2004-12-01,651.7
2005-01-01,487.3
2005-02-01,572.1
2005-03-01,718.9
2005-04-01,714.2
2005-05-01,690.2
2005-06-01,704.6
2005-07-01,711.4
2005-08-01,697.4
2005-09-01,645.4
2005-10-01,560.8
2005-11-01,541.1
2005-12-01,617.0
2006-01-01,558.8
2006-02-01,569.3
2006-03-01,690.7
2006-04-01,711.4
2006-05-01,729.7
2006-06-01,713.1
2006-07-01,711.4
2006-08-01,719.4
2006-09-01,634.7
2006-10-01,544.8
2006-11-01,534.1
2006-12-01,643.9
2007-01-01,506.4
2007-02-01,560.6
2007-03-01,718.9
2007-04-01,622.9
2007-05-01,776.1
2007-06-01,716.5
2007-07-01,617.4
2007-08-01,679.0
2007-09-01,611.5
2007-10-01,560.1
2007-11-01,563.9
2007-12-01,628.8
2008-01-01,495.8
2008-02-01,555.5
2008-03-01,679.4
2008-04-01,656.8
2008-05-01,794.4
2008-06-01,659.7
2008-07-01,618.9
2008-08-01,627.4
2008-09-01,478.4
2008-10-01,427.1
2008-11-01,357.1
2008-12-01,418.7
2009-01-01,312.8
2009-02-01,338.5
2009-03-01,442.0
2009-04-01,426.5
2009-05-01,480.7
2009-06-01,452.5
2009-07-01,545.4
2009-08-01,715.7
2009-09-01,394.0
2009-10-01,420.9
2009-11-01,368.3
2009-12-01,504.2
2010-01-01,356.217
2010-02-01,393.08
2010-03-01,533.45
2010-04-01,493.59
2010-05-01,555.18
2010-06-01,493.498
2010-07-01,514.969
2010-08-01,490.819
2010-09-01,463.225
2010-10-01,436.381
2010-11-01,395.715
2010-12-01,509.615
2011-01-01,380.294
2011-02-01,482.998
2011-03-01,648.485
2011-04-01,595.951
2011-05-01,534.594
2011-06-01,513.903
2011-07-01,497.416
2011-08-01,497.583
2011-09-01,474.983
2011-10-01,470.141
2011-11-01,455.258
2011-12-01,541.255
2012-01-01,460.549
2012-02-01,604.028
2012-03-01,747.947
2012-04-01,614.66
2012-05-01,677.297
2012-06-01,641.885
2012-07-01,567.436
2012-08-01,633.71
2012-09-01,585.217
2012-10-01,530.897
2012-11-01,551.645
2012-12-01,629.898
2013-01-01,523.227
2013-02-01,604.217
2013-03-01,739.747
2013-04-01,639.12
2013-05-01,710.234
2013-06-01,687.169
2013-07-01,638.081
2013-08-01,734.027
2013-09-01,549.312
2013-10-01,563.78
2013-11-01,584.775
2013-12-01,612.645
2014-01-01,479.954
2014-02-01,562.538
2014-03-01,741.272
2014-04-01,656.715
2014-05-01,775.008
2014-06-01,685.301
2014-07-01,670.85
2014-08-01,752.421
2014-09-01,565.542
2014-10-01,580.947
2014-11-01,579.143
2014-12-01,658.309
2015-01-01,515.416
2015-02-01,558.177
2015-03-01,717.516
2015-04-01,646.404
2015-05-01,748.03
2015-06-01,661.216
2015-07-01,647.893
2015-08-01,670.828
2015-09-01,598.981
2015-10-01,599.661
2015-11-01,529.883
2015-12-01,634.521
2016-01-01,473.12
2016-02-01,555.913
2016-03-01,666.922
2016-04-01,609.499
2016-05-01,626.247
2016-06-01,605.425
2016-07-01,591.549
2016-08-01,580.788
2016-09-01,556.261
2016-10-01,507.24
2016-11-01,509.053
2016-12-01,601.329
2017-01-01,412.899
2017-02-01,484.258
2017-03-01,590.597
2017-04-01,538.511
2017-05-01,562.657
2017-06-01,521.943
2017-07-01,501.895
2017-08-01,523.43
2017-09-01,535.491
2017-10-01,459.159
2017-11-01,462.019
2017-12-01,496.344
2018-01-01,366.359
2018-02-01,422.315
2018-03-01,537.583
2018-04-01,429.068
2018-05-01,513.695
2018-06-01,483.503
2018-07-01,417.24
2018-08-01,441.344
2018-09-01,430.323
2018-10-01,420.421
2018-11-01,401.287
2018-12-01,447.139
2019-01-01,353.647
2019-02-01,365.541
2019-03-01,482.955
2019-04-01,395.58
2019-05-01,454.966
2019-06-01,439.956
2019-07-01,382.86
2019-08-01,434.234
2019-09-01,339.453
2019-10-01,343.755
2019-11-01,352.631
2019-12-01,374.132
2020-01-01,293.24
2020-02-01,346.488
2020-03-01,264.709
2020-04-01,166.418
2020-05-01,258.529
2020-06-01,251.179
2020-07-01,292.561
2020-08-01,299.775
2020-09-01,304.829
2020-10-01,313.554
2020-11-01,277.628
2020-12-01,332.928
2021-01-01,249.97
2021-02-01,258.785
2021-03-01,362.479
2021-04-01,350.295
2021-05-01,379.673
2021-06-01,314.867
2021-07-01,304.747
2021-08-01,254.242
2021-09-01,222.801
2021-10-01,208.849
2021-11-01,204.787
2021-12-01,238.555
2022-01-01,201.753
2022-02-01,217.079
2022-03-01,264.362
2022-04-01,261.061
2022-05-01,238.654
2022-06-01,247.88
2022-07-01,231.178
2022-08-01,237.697
2022-09-01,232.583
2022-10-01,243.542
2022-11-01,239.873
2022-12-01,242.913
2023-01-01,210.234
2023-02-01,224.01
2023-03-01,285.915
2023-04-01,287.362
2023-05-01,282.905
2023-06-01,279.081
2023-07-01,265.373
2023-08-01,263.593
2023-09-01,273.97
2023-10-01,234.372
2023-11-01,244.928
2023-12-01,264.904
2024-01-01,207.212
2024-02-01,230.018
2024-03-01,280.701
2024-04-01,257.93
2024-05-01,279.462
2024-06-01,251.049
